2023-09-12 16:46:21,844 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:46:24,125 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:46:24,125 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:46:24,125 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:46:25,306 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:46:25,311 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:46:25,311 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:46:33,391 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:46:33,391 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:46:33,391 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:46:34,652 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:46:34,655 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:46:34,655 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:46:34,816 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:46:34,818 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:46:34,818 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:46:35,028 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:46:35,031 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:46:35,031 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:46:36,000 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:46:36,003 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:46:36,003 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:46:42,695 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:46:42,703 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:46:42,703 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:46:46,868 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:46:46,871 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:46:46,871 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:46:47,051 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:46:47,054 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:46:47,054 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:46:47,283 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:46:47,283 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:46:47,283 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:46:56,310 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
